page,tv_Name,tv_Price,tv_img,nextPage
https://www.evkur.com.tr/televizyonlar?ajax=true&specificationValueIds=1265,Lg 65SM8000PLA 164 Cm 4K Ultra HD Nanocell Active HDR Webos Smart Dahili Uydu Alıcılı Led Tv + Lg AN-MR19BA.APD Smart Led Tv Uyumlu Sihirli Uzaktan Kumanda Hediye (Teşhir Ürünü),"10,499",https://cdn.evkur.com.tr/c/Product/thumbs/lg-65sm8000pla_t3fyd5_250.jpg,/lg-65sm8000pla-164-cm-4k-ultra-hd-nanocell-active-hdr-webos-smart-dahili-uydu-alicili-led-tv
https://www.evkur.com.tr/televizyonlar?ajax=true&specificationValueIds=1265,Lg 75SM8610PLA 189 Cm Nanocell Ultra HD 4K Active HDR Webos Smart Led Tv (Teşhir Ürünü),"15,500",https://cdn.evkur.com.tr/c/Product/thumbs/75sm8610pla_co04pt_250.jpg,/lg-75sm8610pla-189-cm-nanocell-ultra-hd-4k-active-hdr-webos-smart-led-tv
https://www.evkur.com.tr/televizyonlar?ajax=true&specificationValueIds=1265,Lg 50UN73006LA.APDZ 126 Cm Ultra HD 4K HDR10 Pro Webos Smart Dahili Uydu Alıcılı Led Tv  + Sihirli Uzaktan Kumanda,"5,699",https://cdn.evkur.com.tr/c/Product/thumbs/lg-un73006_k3lys4_250.jpg,/lg-50un73006laapdz-126-cm-ultra-hd-4k-hdr10-pro-webos-smart-dahili-uydu-alicili-led-tv
https://www.evkur.com.tr/televizyonlar?ajax=true&specificationValueIds=1265,Lg 65UN73006LA.APDZ 165 Cm Ultra HD 4K HDR10 Pro Webos Smart Dahili Uydu Alıcılı Led Tv + Sihirli Uzaktan Kumanda,"8,899",https://cdn.evkur.com.tr/c/Product/thumbs/lg-un73006_k3lys4_250.jpg,/lg-65un73006laapdz-165-cm-ultra-hd-4k-hdr10-pro-webos-smart-dahili-uydu-alicili-led-tv
page,tv_Name,tv_Price,tv_img,nextPage
https://www.teknosa.com/televizyonlar-c-101001?q=%3Arelevance%3Abrand%3A2331&page=1,"LG 65NANO996NA.APD 65"" 165 Ekran UHD Nanocell TV",31.999,https://reimg-teknosa-cloud-prod.mncdn.com/mnresize/200/200/productimage/110019651/110019651_0_MC/43608917.jpg,/lg-65nano996naapd-65-165-ekran-uhd-nanocell-tv-p-110019651
https://www.teknosa.com/televizyonlar-c-101001?q=%3Arelevance%3Abrand%3A2331&page=1,"LG 24TL510S-PZ  24"" 61 Ekran Smart Led Monitor TV Siyah",1.799,https://reimg-teknosa-cloud-prod.mncdn.com/mnresize/200/200/productimage/110019627/110019627_0_MC/33257051.jpg,/lg-24tl510spz-24-61-ekran-smart-led-monitor-tv-siyah-p-110019627
https://www.teknosa.com/televizyonlar-c-101001?q=%3Arelevance%3Abrand%3A2331&page=1,"LG 50NANO796 50"" 127 Ekran UHD Nanocell TV",5.799,https://reimg-teknosa-cloud-prod.mncdn.com/mnresize/200/200/productimage/110019633/110019633_0_MC/47776017.jpg,/lg-50nano796-50-127-ekran-uhd-nanocell-tv-p-110019633
https://www.teknosa.com/televizyonlar-c-101001?q=%3Arelevance%3Abrand%3A2331&page=1,"LG 55NANO796 55"" 139 Ekran UHD Nanocell TV",6.799,https://reimg-teknosa-cloud-prod.mncdn.com/mnresize/200/200/productimage/110019634/110019634_0_MC/48355928.png,/lg-55nano796-55-139-ekran-uhd-nanocell-tv-p-110019634
https://www.teknosa.com/televizyonlar-c-101001?q=%3Arelevance%3Abrand%3A2331&page=1,"LG 24TL510S-WZ 24"" 61 Ekran Smart Led Monitor TV Beyaz",1.799,https://reimg-teknosa-cloud-prod.mncdn.com/mnresize/200/200/productimage/110019628/110019628_0_MC/33257051.jpg,/lg-24tl510swz-24-61-ekran-smart-led-monitor-tv-beyaz-p-110019628
